Model,Model Raw,Step,Accuracy,Seed,Path
KLA,RelaxedKaczmarzQNorm_Stack,4500,99.0024209022522,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,5000,99.04270768165588,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,5500,99.0338385105133,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,6000,99.0172028541565,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,6500,99.05786514282227,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,7000,99.07597303390503,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,7500,99.11441206932068,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,8000,99.10295605659485,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,8500,99.0955650806427,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,9000,99.14102554321289,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,9500,99.13843870162964,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,10000,99.14213418960571,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,10500,99.16837811470032,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,11000,99.14952516555786,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,11500,99.17429089546204,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,12000,99.16542172431946,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,12500,99.18057322502136,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,13000,99.17466044425964,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,13500,99.17207360267639,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,14000,99.13806915283203,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,14500,99.15248155593872,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,15000,99.20090436935425,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,15500,99.19461607933044,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,16000,99.1772472858429,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,16500,99.12772178649902,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,17000,99.16874766349792,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,17500,99.20792579650879,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,18000,99.17983412742615,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,18500,99.1986870765686,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,19000,99.172443151474,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,19500,99.16800856590271,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
KLA,RelaxedKaczmarzQNorm_Stack,20000,99.14582967758179,42,./out/stack/RelaxedKaczmarzQNorm_Stack_seq1024_v128_s64_val26_seed42_lr1em3_20000steps/results.json
